City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
181,kawai,34.2333,135.85,3.8,96,100,4.17,JP,1675260178
182,moyale,3.5167,39.0584,32.14,20,7,5.03,KE,1675260179
183,thompson,55.7435,-97.8558,-37.91,74,40,1.54,CA,1675260180
184,guangyuan,32.442,105.823,13.02,34,100,2.4,CN,1675260180
185,muisne,0.6,-80.0333,25.41,85,72,2.75,EC,1675260181
186,oriximina,-1.7656,-55.8661,29.62,57,91,1.74,BR,1675260120
187,ashtian,34.5217,50.0019,-0.94,80,2,3.99,IR,1675260182
188,marsh harbour,26.5412,-77.0636,23.29,77,0,1.51,BS,1675260004
189,gushikawa,26.3544,127.8686,19.57,75,0,0.0,JP,1675260184
190,sioux lookout,50.1001,-91.917,-29.96,76,20,1.54,CA,1675260187
191,pangai,-19.8,-174.35,27.36,77,100,2.88,TO,1675260188
192,ballina,-28.8667,153.5667,23.77,99,86,2.7,AU,1675260190
193,umm lajj,25.0213,37.2685,20.46,50,0,7.22,SA,1675260192
194,salvador,13.8333,-88.9167,23.92,72,81,1.42,SV,1675260194
195,nanchang,28.6833,115.8833,14.27,44,87,6.64,CN,1675260197
196,arraial do cabo,-22.9661,-42.0278,29.98,65,0,4.63,BR,1675259912
197,chiredzi,-21.05,31.6667,34.8,28,52,4.19,ZW,1675260200
198,karoi,-16.8099,29.6925,22.95,81,100,2.25,ZW,1675260208
199,ghanzi,-21.5667,21.7833,27.19,48,94,1.28,BW,1675260209
200,roma,43.2128,-75.4557,-6.77,87,82,2.96,US,1675259523
201,saint george,37.1041,-113.5841,-3.67,58,0,0.0,US,1675259971
202,macusani,-14.0833,-70.4333,6.69,76,99,3.01,PE,1675260219
203,arlit,18.7369,7.3853,30.17,4,0,0.74,NE,1675260219
204,coihaique,-45.5752,-72.0662,14.97,51,0,3.09,CL,1675259985
205,campbell river,50.0163,-125.2446,2.74,98,100,4.47,CA,1675260221
206,merauke,-8.4667,140.3333,27.3,84,100,4.09,ID,1675260221
207,metro,-5.1131,105.3067,24.94,89,100,1.33,ID,1675260222
208,fort nelson,58.8053,-122.7002,-20.23,65,100,1.54,CA,1675260223
209,tupa,-21.9347,-50.5136,23.48,82,100,1.44,BR,1675260223
210,elliot lake,46.3834,-82.6331,-18.79,97,39,2.22,CA,1675260224
211,idah,7.1065,6.7342,39.29,21,0,2.13,NG,1675260225
212,lanigan,51.8501,-105.0344,-25.06,100,95,1.11,CA,1675260225
213,hereford,52.0568,-2.7148,11.14,72,94,3.58,GB,1675259772
214,yermakovskoye,53.2831,92.4003,-17.61,98,100,0.05,RU,1675260226
215,san ramon,37.7799,-121.978,7.64,60,0,2.06,US,1675260002
216,iwanai,42.9744,140.5089,-2.24,93,100,9.02,JP,1675260227
217,banda aceh,5.5577,95.3222,26.29,82,99,3.51,ID,1675260228
218,gidam,18.9833,81.4,22.58,33,51,2.16,IN,1675260229
219,bilma,18.6853,12.9164,25.7,9,47,5.29,NE,1675260229
220,maur,30.0833,75.25,15.15,32,4,3.35,IN,1675260230
221,khatanga,71.9667,102.5,-43.22,100,69,1.16,RU,1675259920
222,chirilagua,13.2203,-88.1386,24.44,55,24,1.75,SV,1675260231
223,college,64.8569,-147.8028,-11.63,81,100,1.54,US,1675260231
224,salalah,17.0151,54.0924,23.11,59,14,2.63,OM,1675259966
225,gizo,-8.103,156.8419,27.57,79,97,4.8,SB,1675260232
226,maniitsoq,65.4167,-52.9,-13.15,76,100,4.29,GL,1675259972
227,hithadhoo,-0.6,73.0833,27.68,72,76,5.55,MV,1675259897
228,itarema,-2.9248,-39.9167,26.53,82,100,5.06,BR,1675260233
229,atherton,53.5237,-2.4935,10.75,86,100,5.81,GB,1675260234
230,grindavik,63.8424,-22.4338,-1.74,86,75,5.14,IS,1675260235
231,mujiayingzi,42.1167,118.7833,-11.12,40,0,2.69,CN,1675260235
232,almeirim,-1.5233,-52.5817,26.72,85,29,1.16,BR,1675260236
233,yulara,-25.2406,130.9889,25.85,25,0,7.41,AU,1675260237
234,leh,34.1667,77.5833,-12.71,66,100,1.0,IN,1675260237
