end_station_name,zipcode
Adam Clayton Powell Blvd & W 123 St,10027
Lenox Ave & W 144 St,10037
Graham Ave & Grand St,11206
Bushwick Ave & Dekalb Ave,11221
Johnson St & Gold St,11201
E 13 St & 2 Ave,10035
Lexington Ave & E 111 St,10037
Park Pl & Franklin Ave,11216
W 18 St & 6 Ave,10011
Morgan Ave & Lombardy St,11222
Union St & Nevins St,11215
N 11 St & Kent Ave,11249
1 Ave & E 39 St,10174
3 Ave & E 71 St,10035
E 2 St & Avenue B,10009
Dean St & Franklin Ave,11238
N 15 St & Wythe Ave,11222
E 97 St & 3 Ave,10029
Flushing Ave & Vanderbilt Ave,11251
Putnam Ave & Wyckoff Ave,11237
E 27 St & Park Ave S,10010
3 Ave & E 170 St,10456
Greenpoint Ave & Manhattan Ave,11222
Cypress Ave & Palmetto St,11237
57 St & 1 Ave,11220
E 171 St & 3 Ave,10456
Queens Plaza North & Crescent St,11101
W 17 St & 8 Ave,10011
Amsterdam Ave & W 125 St,10115
W 35 St & 9 Ave,10001
Cambridge Pl & Gates Ave,11238
Central Park W & W 103 St,10025
St Nicholas Ave & W 134 St,10030
Washington Pl & Broadway,10012
Broadway & W 41 St,10018
Warren St & Smith St,11201
Brooklyn Ave & Prospect Pl,11213
E 68 St & Madison Ave,10021
Ditmars Blvd & 43 St,11370
40 Ave & 9 St,11101
Steinway St & 21 Ave,11101
E 106 St & 2 Ave,10029
E 85 St & York Ave,10028
Liberty St & Nassau St,10005
E 23 St & 1 Ave,10010
Willoughby Ave & Walworth St,11205
St Nicholas Ave & W 150 St,10031
Butler St & Court St,11231
Ave A & E 11 St,10009
25 Ave & 41 St,11103
Westchester Ave & Longwood Ave,10459
Morningside Ave & W 123 St,10027
Fulton St & Adams St,11201
Franklin St & Dupont St,11222
Scholes St & Manhattan Ave,11206
Halsey St & Evergreen Ave,11207
6 Ave & 9 St,11215
Grand St & Greene St,10013
Amsterdam Ave & W 82 St,10024
44 St & 2 Ave,11232
E 54 St & 1 Ave,10022
5 St & Market St,11251
E 170 St & Webster Ave,10456
E 138 St & Cypress Ave,10454
E 45 St & 3 Ave,10017
5 Ave & W 126 St,10027
Shakespeare Ave & W 169 St,10452
Madison Av & E 51 St,10022
