end_station_name,zipcode
Wyckoff St & 3 Ave,11217
Lafayette Ave & Stuyvesant Ave,11221
9 Ave & W 204 St,10034
39 Ave & 56 St,11377
Fulton St & Saratoga Ave,11207
McGinley Square,07306
62 St & 34 Ave,11377
37 Ave & 63 St,11377
Sterling Pl & Rochester Ave,11213
3 Ave & E 174 St - Bathgate Vaccination Site,10457
Patchen Ave & Bainbridge St,11233
St. Johns Pl & Kingston Ave,11213
Park Pl & Buffalo Ave,11213
Broadway and Berry St,11249
72 St & Woodside Ave,11377
Woodside Ave & 69 St,11377
9 Ave & W 219 St,10034
Herkimer St & New York Ave,11216
65 St & Roosevelt Ave,11377
Folin St & E 181 St,10457
Park Pl & Utica Ave,11213
Decatur St & Saratoga Ave,11233
Nassau St	& Duffield St,11201
12 St & Sinatra Dr N,07030
Van Sinderen Ave & Atlantic Ave,11207
W 212 St & 10 Ave,10034
Washington St,07302
57 St & 37 Ave,11377
Lab - NYC,10001
Hamilton Park,07302
Pier 40 X2,10014
Morgan WH station,11237
Paulus Hook,07302
Herkimer St & Eastern Pkwy,11233
Amsterdam Ave & W 189 St new,10040
14 St Ferry - 14 St & Shipyard Ln,07030
Troy Ave & Sterling Pl,11233
Prospect Pl & Howard Ave,11233
Brooklyn Ave & Dean St,11216
College Ave & E 169 St,10456
Pacific St & Utica Ave,11213
Skillman Ave & 32 Pl,11101
Grand St,07311
E 6 St 2 Ave,10003
Bloomfield St & 15 St,07086
Bergen St & Buffalo Ave,11233
Glenwood Ave,07304
Church St & Thomas St,10013
11 St & Washington St,07030
Sterling Pl & Ralph Ave,11233
Somers St & Rockaway Ave,11233
Eastern Pkwy & Ralph Ave,11212
St Johns Pl & Utica Ave,11213
Essex Light Rail,07302
Columbus Drive,07302
Marin Light Rail,07302
Warren St,07302
2 Ave & 44 St,11220
Morgan Bike Mechanics,11237
Bergen St & Saratoga Ave,11233
Montgomery St,07302
Columbus Pl & Atlantic Ave,11233
Newark Ave,07302
Columbus Dr at Exchange Pl,07311
Newport Pkwy,07310
Sharon St & Olive St_new,11211
Jersey & 6th St,07302
Newport PATH,07310
Bergen Ave & Stegman St,07305
Pacific St & Rochester Ave,11233
Pacific St & Ralph Ave,11233
Columbus Park - Clinton St & 9 St,07030
Van Vorst Park,07302
Park Pl & Thomas S. Boyland St,11233
St Marks Ave & Ralph Ave,11233
Willow Ave & 12 St,07030
Buffalo Ave & St Johns Pl,11233
Lafayette Park,07304
Adams St & 11 St,07030
Morgan Tech Shop parts testing,11206
Liberty Light Rail,07304
JC Medical Center,07302
Grand St & 14 St,07030
W 40 St & 8 Ave,10018
Pershing Field,07307
Lincoln Pl & Nostrand Ave,11216
Pacific St & Thomas S. Boyland St,11233
Hudson St & 4 St,07030
Hoboken Terminal - River St & Hudson Pl,07030
7 St & Monroe St,07030
Clinton St & Newark St,07310
Christ Hospital,07306
Manila & 1st,07302
Bergen Ave & Sip Ave,07306
City Hall,07302
Church Sq Park - 5 St & Park Ave,07030
Hoboken Terminal - Hudson St & Hudson Pl,07030
Astor Place,07304
South Waterfront Walkway - Sinatra Dr & 1 St,07030
9 St HBLR - Jackson St & 8 St,07030
Dey St,07306
8 St & Washington St,07030
StuyTown Depot,10036
Schenectady Ave & Pacific St,11213
Lexington Ave & Stuyvesant Ave,11221
Monmouth and 6th,07302
Jersey & 3rd,07302
Marshall St & 2 St,07307
Baldwin at Montgomery,07306
Heights Elevator,07307
Apache,11215
4 St & Grand St,07030
Hoboken Ave at Monmouth St,07310
6 St & Grand St,07030
NYCBS DEPOT - DELANCEY,10002
Grove St PATH,07302
Lincoln Park,07304
Journal Square,07306
Stevens - River Ter & 6 St,07030
Madison St & 10 St,07030
Jackson Square,07304
